tar 1.35-5
tcl 8.6.16-1
tdb 1.4.15-1
texinfo 7.3-1
texlive-bin 2026.0-2
threadweaver 6.29.0-1
tinysparql 3.11.1-1
tk 8.6.16-1
tlp 1.10.2-1
tmux-custom 3.2a-1
tmux-custom-debug 3.2a-1
tpm2-tss 4.2.0-2
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-hack-nerd 3.5.1-2
ttf-input-nerd 3.4.0-4
ttf-opensans 3.003-1
tzdata 2026c-1
uchardet 0.0.8-4
udisks2 2.11.2-1
ufw 0.36.2-7
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vesktop 1.6.7-1
vid.stab 1.1.1-3
vim-runtime 9.2.0849-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.357.0-1
vulkan-mesa-implicit-layers 1:26.2.1-1
vulkan-radeon 1:26.2.1-1
w3m 0.5.6-1
wayland 1.26.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-6
which 2.25-1
wireguard-tools 1.0.20260223-1
wireplumber 0.5.15-1
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xcolor 0.5.1-4
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xorg-bdftopcf 1.1.2-1
