lua 5.5.0-2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1774896198+18b087c-1
lv2 1.18.10-2
lxappearance 0.6.4-3
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
maim 5.8.1-3
make 4.4.1-3
man-db 2.13.1-1
maven 3.9.14-1
md4c 0.5.3-1
mesa 1:26.0.5-1
mesa-utils 9.0.0-7
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.9-1
ncdu 2.9.2-1
ncurses 6.6-2
neovim 0.12.2-1
nettle 3.10.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nftables 1:1.1.6-3
nm-connection-editor 1.36.0-2
notion-app-electron 7.12.0-1
noto-fonts 1:2026.04.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.123.1-1
ntfs-3g 2022.10.3-2
nvidia-open 595.58.03-6
nvidia-settings 595.58.03-1
nvidia-utils 595.58.03-2
ocl-icd 2.3.4-1
openal 1.25.1-1
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openssh 10.3p1-1
openssl 3.6.2-2
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
otf-font-awesome 7.2.0-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260406-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
pangomm-2.48 2.56.1-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pfetch 1.10.0-1
picom 13-2
pinentry 1.3.2-2
pipewire 1:1.6.4-1
pipewire-alsa 1:1.6.4-1
pipewire-audio 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 127-3
polybar 3.7.2-2
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
powerline 2.8.4-4
powerline-fonts 2.8.4-4
procps-ng 4.0.6-1
psmisc 23.7-2
python 3.14.4-1
python-attrs 26.1.0-1
python-cffi 2.0.0-2
python-configargparse 1.7.5-1
python-cryptography 47.0.0-1
python-dbus 1.4.0-2
python-filelock 3.29.0-1
python-gobject 3.56.2-1
python-i3ipc 2.2.1-9
python-packaging 26.2-1
python-pip 26.0.1-1
python-pycparser 3.00-1
python-pydbus 0.6.0-13
python-pyudev 0.24.4-1
python-pywal 3.3.0-11
python-six 1.17.0-3
python-wheel 0.47.0-1
python-xlib 0.33-6
qbittorrent 5.1.4-2
qt6-base 6.11.0-2
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
ranger 1.9.4-5
rav1e 0.8.1-2
readline 8.3.003-1
reflector 2023-5
ripgrep 15.1.0-2
rofi 2.0.0-1
rofimoji 6.7.0-2
rtkit 0.14-1
rubberband 4.0.0-2
runc 1.4.2-1
sbc 2.2-1
sdl2-compat 2.32.66-1
sdl3 3.4.4-1
sed 4.9-3
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
sl 5.05-5
slang 2.3.3-4
slop 7.7-4
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
spotify 1:1.2.86.502-1
sqlite 3.53.0-2
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
tar 1.35-2
tdb 1.4.15-1
texinfo 7.3-1
texlive-bin 2026.0-1
tinysparql 3.11.1-1
tmux-custom 3.2a-1
tmux-custom-debug 3.2a-1
tpm2-tss 4.1.3-1
tree 2.3.2-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-hack-nerd 3.4.0-2
ttf-input-nerd 3.4.0-4
ttf-opensans 3.003-1
tzdata 2026b-1
uchardet 0.0.8-4
ufw 0.36.2-7
unibilium 2.1.2-1
unzip 6.0-23
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 73-2
vid.stab 1.1.1-2
vim-runtime 9.2.0388-1
vmaf 3.1.0-1
vulkan-icd-loader 1.4.341.0-1
vulkan-mesa-implicit-layers 1:26.0.5-1
vulkan-radeon 1:26.0.5-1
w3m 0.5.6-1
wayland 1.25.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireguard-tools 1.0.20260223-1
wireplumber 0.5.14-1
woff2-font-awesome 7.2.0-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xcolor 0.5.1-4
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.47-1
xorg-bdftopcf 1.1.2-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.22-1
xorg-server-common 21.1.22-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorgproto 2025.1-1
xss-lock 0.4.0-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yajl 2.1.0-7
yay 12.5.7-1
yay-debug 12.5.7-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-1
zip 3.0-13
zix 0.8.0-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
zziplib 0.13.80-1
